customer_id,first_name,last_name,email,date_of_birth,city,segment
1,Mason,Miller,user1@example.com,1969-01-01,Johannesburg,Student
2,Olivia,Miller,user2@example.com,1976-01-01,Johannesburg,Student
3,Ethan,Smith,user3@example.com,1979-01-01,Cape Town,Student
4,Mason,Williams,user4@example.com,1983-01-01,Pretoria,Mass
5,Noah,Brown,user5@example.com,1964-01-01,Cape Town,Mass
6,Sophia,Smith,user6@example.com,1993-01-01,Johannesburg,HNW
7,Ethan,Brown,user7@example.com,1965-01-01,Pretoria,Student
8,Ethan,Davis,user8@example.com,1961-01-01,Durban,Mass
9,Mason,Brown,user9@example.com,1972-01-01,Pretoria,HNW
10,Emma,Williams,user10@example.com,1970-01-01,Durban,Student
11,Noah,Davis,user11@example.com,1982-01-01,Durban,Affluent
12,Mason,Brown,user12@example.com,1975-01-01,Pretoria,HNW
13,Noah,Davis,user13@example.com,1990-01-01,Durban,Mass
14,Noah,Brown,user14@example.com,1970-01-01,Cape Town,Mass
15,Sophia,Williams,user15@example.com,1975-01-01,Johannesburg,HNW
16,Ethan,Brown,user16@example.com,1967-01-01,Durban,HNW
17,Olivia,Brown,user17@example.com,1963-01-01,Cape Town,Mass
18,Sophia,Brown,user18@example.com,1999-01-01,Durban,Affluent
19,Sophia,Smith,user19@example.com,1963-01-01,Johannesburg,Student
20,Noah,Smith,user20@example.com,1984-01-01,Cape Town,Affluent
21,Ava,Smith,user21@example.com,1962-01-01,Johannesburg,HNW
22,Ethan,Williams,user22@example.com,1991-01-01,Johannesburg,Affluent
23,Emma,Davis,user23@example.com,1962-01-01,Cape Town,Mass
24,Sophia,Miller,user24@example.com,1986-01-01,Cape Town,HNW
25,Olivia,Brown,user25@example.com,1988-01-01,Cape Town,Student
26,Ava,Brown,user26@example.com,1991-01-01,Pretoria,Mass
27,Ava,Williams,user27@example.com,1978-01-01,Cape Town,Mass
28,Emma,Brown,user28@example.com,1980-01-01,Cape Town,Student
29,Sophia,Smith,user29@example.com,1964-01-01,Cape Town,Student
30,Olivia,Miller,user30@example.com,1977-01-01,Cape Town,Affluent
31,Ethan,Jones,user31@example.com,1987-01-01,Durban,HNW
32,Liam,Brown,user32@example.com,1981-01-01,Pretoria,Student
33,Olivia,Smith,user33@example.com,1980-01-01,Johannesburg,Student
34,Emma,Jones,user34@example.com,1965-01-01,Cape Town,HNW
35,Ava,Miller,user35@example.com,1960-01-01,Durban,Student
36,Ethan,Jones,user36@example.com,1964-01-01,Durban,Student
37,Olivia,Smith,user37@example.com,1971-01-01,Durban,Affluent
38,Liam,Davis,user38@example.com,1985-01-01,Johannesburg,Mass
39,Liam,Davis,user39@example.com,1993-01-01,Cape Town,Mass
40,Noah,Jones,user40@example.com,1973-01-01,Pretoria,Mass
41,Noah,Williams,user41@example.com,1985-01-01,Pretoria,Mass
42,Mason,Jones,user42@example.com,1986-01-01,Durban,Student
43,Emma,Brown,user43@example.com,1968-01-01,Johannesburg,HNW
44,Sophia,Brown,user44@example.com,1985-01-01,Johannesburg,HNW
45,Olivia,Davis,user45@example.com,1981-01-01,Johannesburg,Affluent
46,Olivia,Williams,user46@example.com,1989-01-01,Pretoria,Affluent
